Advocate Hospital: DECO-Phoebe Sumter, SmartScreen Hospital: DECO-Phoebe Sumter
Advocate Hospital: ELEVATE-Kings Daughters Ohio Clinics, SmartScreen Hospital: ELEVATE-Kings Daughters Medical Specialties
Advocate Hospital: ELEVATE-INTEGRIS Southwest Medical Center, SmartScreen Hospital: ELEVATE-INTEGRIS Grove General Hospital
Advocate Hospital: ELEVATE-OSF Saint Paul Medical Center, SmartScreen Hospital: ELEVATE-OSF St. Joseph Medical Center
Advocate Hospital: ELEVATE-University of Wisconsin Clinics, SmartScreen Hospital: ELEVATE-American Family Children''''s Hospital
Advocate Hospital: ELEVATE-Novant Health Matthews Medical Center, SmartScreen Hospital: ELEVATE-Trinity Medical Center West
Advocate Hospital: ELEVATE-INTEGRIS Lakeside Womens Hospital, SmartScreen Hospital: ELEVATE-INTEGRIS Health Edmond
Advocate Hospital: DECO-Taylor Regional Hospital, SmartScreen Hospital: DECO-Taylor Regional Hospital
Advocate Hospital: ELEVATE-Novant Health Huntersville Medical Center, SmartScreen Hospital: ELEVATE-Novant Health Thomasville Medical Center
Advocate Hospital: ELEVATE-American Family Childrens Hospital, SmartScreen Hospital: ELEVATE-Queens Medical Center
Advocate Hospital: ELEVATE-Barnes Jewish Hospital, SmartScreen Hospital: DECO-Barnes Jewish Hospital
Advocate Hospital: DECO-Virginia Hospital Center, SmartScreen Hospital: DECO-Virginia Hospital Center
Advocate Hospital: ELEVATE-Boulder Community Hospital, SmartScreen Hospital: ELEVATE-Kings Daughters Medical Center Kentucky
Advocate Hospital: ELEVATE-OSF Saint Francis Medical Center, SmartScreen Hospital: ELEVATE-OSF St. Francis Hospital &amp; Medical Group
Advocate Hospital: ELEVATE-Essentia Health St Marys Medical Center, SmartScreen Hospital: ELEVATE-Mt Alverno Center
Advocate Hospital: ELEVATE-INTEGRIS Mental Health Spencer, SmartScreen Hospital: ELEVATE-INTEGRIS Southwest Medical Center
Advocate Hospital: ELEVATE-Bon Secours Good Samaritan Hospital GSHCH, SmartScreen Hospital: ELEVATE-Samaritan Hospital New York
Advocate Hospital: DECO-Opelousas General Health System, SmartScreen Hospital: DECO-Opelousas General Health System
Advocate Hospital: ELEVATE-Hospital Sisters St Nicholas Hospital, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Mary Hospital
Advocate Hospital: DECO-Howard University Hospital, SmartScreen Hospital: DECO-Howard University Hospital
Advocate Hospital: ELEVATE-Aspirus Merrill Hospital and Clinics, SmartScreen Hospital: ELEVATE-Aspirus Merrill Hospital and Clinics
Advocate Hospital: ELEVATE-OSF Saint Elizabeth Medical Center, SmartScreen Hospital: ELEVATE-OSF Saint Anthonys Health Center
Advocate Hospital: DECO-Parrish Medical Center, SmartScreen Hospital: DECO-Parrish Medical Center
Advocate Hospital: ELEVATE-Houston Methodist Willowbrook Hospital, SmartScreen Hospital: DECO-Providence St Patrick Hospital
Advocate Hospital: ELEVATE-Houston Methodist West Hospital, SmartScreen Hospital: ELEVATE-Houston Methodist The Woodlands Hospital
Advocate Hospital: DECO-Florida Hospital East Orlando, SmartScreen Hospital: DECO-Florida Hospital East Orlando
Advocate Hospital: ELEVATE-St Anthony Community Hospital SACHE, SmartScreen Hospital: ELEVATE-St. Peters Health Partners Nursing Homes
Advocate Hospital: ELEVATE-Tower Health Phoenixville Hospital, SmartScreen Hospital: ELEVATE-Tower Health Phoenixville Hospital
Advocate Hospital: ELEVATE-ABSMC Herrick Campus, SmartScreen Hospital: ELEVATE-The University of Kansas Cancer Center
Advocate Hospital: DECO-The Medical Center of Peach County Navicent Health, SmartScreen Hospital: DECO-The Medical Center of Peach County Navicent Health
Advocate Hospital: ELEVATE-Yakima Valley Memorial Hospital, SmartScreen Hospital: ELEVATE-Yakima Valley Memorial Hospital
Advocate Hospital: ELEVATE-OSF St Francis Hospital Medical Group, SmartScreen Hospital: ELEVATE-OSF Saint Anthony Medical Center
Advocate Hospital: ELEVATE-Ozanam Hall, SmartScreen Hospital: ELEVATE-Waterbury Hospital
Advocate Hospital: ELEVATE-U of Kansas Healty System - Great Bend Campus, SmartScreen Hospital: ELEVATE-OakBend Medical Wharton Hospital Campus
Advocate Hospital: DECO-Oconee Memorial Hospital, SmartScreen Hospital: DECO-Oconee Memorial Hospital
Advocate Hospital: ELEVATE-Providence Regional Medical Center Everett, SmartScreen Hospital: ELEVATE-Houston Methodist Clear Lake Hospital
Advocate Hospital: ELEVATE-Elliot -Day Surgery, SmartScreen Hospital: ELEVATE-Elliot 1-Day Surgery
Advocate Hospital: DECO-Florida Hospital Celebration Health, SmartScreen Hospital: DECO-Florida Hospital Celebration Health
Advocate Hospital: ELEVATE-Kings Daughters Medical Center Kentucky, SmartScreen Hospital: ELEVATE-UC Irvine Medical Center
Advocate Hospital: ELEVATE-Elliot Hospital System Professional Services, SmartScreen Hospital: ELEVATE-Elliot Hospital System Professional Services 
Advocate Hospital: ELEVATE-Barnes-Jewish St Peters Hospital, SmartScreen Hospital: ELEVATE-Parkland Health Center
Advocate Hospital: ELEVATE-Malta Med Emergent Care, SmartScreen Hospital: ELEVATE-Manchester Memorial Hospital
Advocate Hospital: ELEVATE-Hospital Sisters St Josephs Hospital-Highland, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Anthonys Memorial Hospital
Advocate Hospital: DECO-Stephens County Hospital, SmartScreen Hospital: DECO-Stephen's County Hospital
Advocate Hospital: DECO-Ochsner Kenner, SmartScreen Hospital: DECO-Ochsner Kenner
Advocate Hospital: ELEVATE-Overlake Hospital Medical Center, SmartScreen Hospital: ELEVATE-Overlake Hospital Medical Center
Advocate Hospital: DECO-Bon Secours Medical Group, SmartScreen Hospital: DECO-Bon Secours Medical Group
Advocate Hospital: ELEVATE-Bass Baptist Meadowlake, SmartScreen Hospital: ELEVATE-INTEGRIS Lakeside Womens Hospital
Advocate Hospital: ELEVATE-INTEGRIS Grove General Hospital, SmartScreen Hospital: ELEVATE-INTEGRIS Deaconess
Advocate Hospital: DECO-Roger C Peace Rehab Hospital, SmartScreen Hospital: DECO-Roger C. Peace
Advocate Hospital: ELEVATE-OSF Saint Anthonys Health Center, SmartScreen Hospital: ELEVATE-Hospital Sisters Holy Family Hospital
Advocate Hospital: ELEVATE-UCSF Benioff Childrens Hospital - Oakland, SmartScreen Hospital: ELEVATE-Novant Health Brunswick Medical Center
